Data os of Date,Community District,ProgramTypeName,Female Count,Female Percentage,Male Count,Male Percentage,Gender Nonconforming Count,Gender Nonconforming Percentage,American Indian or Alaskan Native Count,American Indian or Alaskan Native Percentage,Asian Count,Asian Percentage,Black or African American Count,Black or African American Percentage,Multi-race Count,Multi-race Percentage,Native Hawaiian or Other Pacific Islander Count,Native Hawaiian or Other Pacific Islander Percentage,White or Caucasian Count,White or Caucasian Percentage,Hispanic or Latino(a) Count,Hispanic or Latino(a) Percentage,Not Hispanic or Latino(a) Count,Not Hispanic or Latino(a) Percentage,Not Sure Count,Not Sure Percentage,X (Not Male Or Female) Count,X (Not Male Or Female) Percentage,Another Gender Count,Another Gender Percentage,Decline to Answer Count,Decline to Answer Percentage,Do not understand the question Count,Do not understand the question Percentage,Female Gender Identity Count,Female Gender Identity Percentage,Male Gender Identity Count,Male Gender Identity Percentage,Multi-Gender Identity Count,Multi-Gender Identity Percentage,Non-Binary (not Female or Male) Count,Non-Binary (not Female or Male) Percentage,Not Sure Gender Identity Count,Not Sure Gender Identity Percentage,Two Spirit (Native American/First Nations) Count,Two Spirit (Native American/First Nations) Percentage
06/26/2020,Bronx CD 001,Adult Literacy - ABE/HSE,18,0.64,14,0.5,0,0,0,0,0,0,12,0.42,2,0.07,0,0,1,0.03,24,0.85,8,0.28,0,0,0,0,0,0,0,0,0,0,18,0.64,14,0.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - ABE/HSE (Discretionary),19,0.67,43,1.53,0,0,5,0.17,0,0,35,1.25,1,0.03,1,0.03,7,0.25,36,1.28,26,0.92,0,0,0,0,0,0,0,0,0,0,22,0.78,40,1.42,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - BENL/ESOL,285,10.17,123,4.39,0,0,0,0,1,0.03,16,0.57,1,0.03,0,0,0,0,353,12.6,55,1.96,0,0,0,0,0,0,8,0.28,0,0,280,10,119,4.25,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - BENL/ESOL (Discretionary),7,0.25,4,0.14,0,0,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,10,0.35,1,0.03,0,0,0,0,0,0,0,0,0,0,7,0.25,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - NDA (ABE/HSE/Spanish HSE),104,3.71,33,1.17,0,0,1,0.03,1,0.03,15,0.53,1,0.03,0,0,4,0.14,119,4.25,18,0.64,0,0,0,0,0,0,0,0,0,0,106,3.78,31,1.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Beacon,343,12.25,453,16.18,0,0,7,0.25,5,0.17,299,10.67,13,0.46,6,0.21,35,1.25,560,20,236,8.42,0,0,0,0,0,0,78,2.78,1,0.03,116,4.14,204,7.28,1,0.03,0,0,1,0.03,0,0
06/26/2020,Bronx CD 001,COMPASS Explore,15,0.53,8,0.28,0,0,1,0.03,0,0,9,0.32,0,0,0,0,0,0,17,0.6,6,0.21,0,0,0,0,0,0,8,0.28,0,0,9,0.32,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,COMPASS High School,10,0.35,13,0.46,0,0,0,0,0,0,9,0.32,1,0.03,0,0,3,0.1,19,0.67,4,0.14,0,0,0,0,0,0,2,0.07,0,0,10,0.35,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,COMPASS Middle School,851,30.39,869,31.03,0,0,6,0.21,8,0.28,751,26.82,28,1,5,0.17,69,2.46,1051,37.54,667,23.82,0,0,0,0,0,0,13,0.46,1,0.03,58,2.07,68,2.42,0,0,0,0,2,0.07,0,0
06/26/2020,Bronx CD 001,Cornerstone,368,13.14,581,20.75,0,0,12,0.42,1,0.03,624,22.28,15,0.53,6,0.21,23,0.82,440,15.71,509,18.18,0,0,0,0,0,0,44,1.57,0,0,123,4.39,230,8.21,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Drop-in Centers,143,5.1,209,7.46,0,0,2,0.07,1,0.03,192,6.85,13,0.46,4,0.14,24,0.85,127,4.53,220,7.85,0,0,0,0,0,0,1,0.03,0,0,114,4.07,176,6.28,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,ESL Civics,34,1.21,13,0.46,0,0,0,0,1,0.03,12,0.42,0,0,0,0,0,0,34,1.21,13,0.46,0,0,0,0,0,0,0,0,0,0,33,1.17,14,0.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - ABE/HSE,8,0.28,4,0.14,0,0,1,0.03,0,0,5,0.17,0,0,0,0,1,0.03,8,0.28,4,0.14,0,0,0,0,0,0,0,0,0,0,8,0.28,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - ABE/HSE (Discretionary),6,0.21,7,0.25,0,0,1,0.03,0,0,7,0.25,0,0,0,0,0,0,7,0.25,6,0.21,0,0,0,0,0,0,0,0,0,0,6,0.21,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - BENL/ESOL,78,2.78,25,0.89,0,0,0,0,0,0,7,0.25,0,0,1,0.03,0,0,93,3.32,10,0.35,0,0,0,0,0,0,2,0.07,0,0,80,2.85,21,0.75,0,0,0,0,0,0,0,0
