Agency,Goal,Initiative,Report Year,Indicator,Indicator Value,Measurement Type,Baseline Year,Target,Target Year
NYC Service,Vibrant Democracy,Empower all New Yorkers to participate in our democracy,2019,Volunteers counted in the annual survey,1000000,Number,CY2017,1500000,CY2025
Mayor's Office,Vibrant Democracy,Empower all New Yorkers to participate in our democracy,2019,Voter registrations,N/A,Number,CY2017,"1,500,000 voter registrations",CY2022
Mayor's Office,Vibrant Democracy,Empower all New Yorkers to participate in our democracy,2019,Voter turnout in local elections,0.215,Percentage,CY2017,Increase,NA
Mayor's Office of Immigrant Affairs,Vibrant Democracy,Welcome new New Yorkers from around the world and involve them fully in civic life,2019,Immigrant New Yorkers who are naturalized,0.56,Percentage,CY2017,Increase,NA
DOC,Vibrant Democracy,"Promote justice and equal rights, and build trust between New Yorkers and government",2019,Average daily jail population,8896,Number,FY2018,Reduce,NA
NYPD,Vibrant Democracy,"Promote justice and equal rights, and build trust between New Yorkers and government",2019,Major felony crimes,95883,Number,CY2018,Reduce,NA
Mayor's Office of International Affairs,Vibrant Democracy,Promote democracy and civic innovation on the global stage,2019,Submit a Voluntary Local Review to the UN,Completed,Text,CY2018,Annual,NA
NYC Opportunity,Inclusive Economy,Grow the economy with good-paying jobs and prepare New Yorkers to fill them,2019,"Income Disparity by Race/Ethnicity (median household of earnings of white households divided by median household earnings of black, Hispanic, Asian and other race households)",2,Number,CY2017,Decrease,NA
Career Pathways,Inclusive Economy,Grow the economy with good-paying jobs and prepare New Yorkers to fill them,2019,Individuals connected to employment through the City's workforce system,66390,Number,FY2018,Increase,NA
OMB,Inclusive Economy,Grow the economy with good-paying jobs and prepare New Yorkers to fill them,2019,Labor force participation rate,0.608,Percentage,CY2019,Increase,NA
OMB,Inclusive Economy,Grow the economy with good-paying jobs and prepare New Yorkers to fill them,2019,Securities sector share of total wage earnings,0.191,Percentage,CY2017,Decrease,NA
OMB,Inclusive Economy,Grow the economy with good-paying jobs and prepare New Yorkers to fill them,2019,Total Employment (thousands),4500.1,Number,CY2018,Increase,NA
NYC Food Policy,Inclusive Economy,Provide economic security for all through fair wages and expanded benefits,2019,Food insecurity rate,0.144,Percentage,CY2018,Decrease,NA
NYC Opportunity,Inclusive Economy,Provide economic security for all through fair wages and expanded benefits,2019,Lift New Yorkers out of poverty or near poverty,"236,500 reduction between 2013 and 2017",Number,CY2013,800000,CY2025
NYC Opportunity,Inclusive Economy,Provide economic security for all through fair wages and expanded benefits,2019,Percentage of New Yorkers living in or near poverty,0.426,Percentage,CY2016,Decrease,NA
Office of M/WBE,Inclusive Economy,"Expand the voice, ownership, and decision-making power of workers and communities",2019,"Amount awarded to City-certified M/WBE businesses, including subcontracts",1069000000,US Dollars,FY2018,Increase,NA
Office of M/WBE,Inclusive Economy,"Expand the voice, ownership, and decision-making power of workers and communities",2019,Total number of Minority and Women-owned Business Enterprises certified,6829,Number,FY2018,Increase,NA
SBS,Inclusive Economy,"Expand the voice, ownership, and decision-making power of workers and communities",2019,Total number of worker cooperatives created through the Worker Cooperative Business Development Initiative,48,Number,CY2018,Increase,NA
OMB,Inclusive Economy,Strengthen the City's fiscal health to meet current and future needs,2019,New York City's General Obligation Bond Credit Rating,Aa1,Text,CY2019,Maintain,NA
