DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,ELA # Tested,ELA # Proficient (L3&4),ELA % Proficient (L3&4),Math # Tested,Math # Proficient (L3&4),Math % Proficient (L3&4),2017-18 Total 4-year August Grad Cohort,2017-18 % 4-year August Graduates,2017-18 Total 6-year Grad Cohort,2017-18 % 6-year Graduates
01M015,1,P.S. 015 Roberto Clemente,false,M015,false,174,174,0,0,0.138,0.276,0.546,0.006,0.034,0.218,0.046,0.833,70,42,60.0%,70,46,65.7%,No Data,No Data,No Data,No Data
01M063,1,The STAR Academy - P.S.63,false,M063,false,230,230,0,0,0.017,0.196,0.652,0.039,0.096,0.317,0.017,0.765,79,35,44.3%,78,25,32.1%,No Data,No Data,No Data,No Data
01M064,1,P.S. 064 Robert Simon,false,M064,false,223,223,0,0,0.031,0.184,0.713,0.018,0.054,0.278,0.027,0.861,81,40,49.4%,81,35,43.2%,No Data,No Data,No Data,No Data
01M142,1,P.S. 142 Amalia Castro,false,M142,false,353,353,0,0,0.037,0.156,0.773,0.02,0.014,0.363,0.074,0.958,104,44,42.3%,98,37,37.8%,No Data,No Data,No Data,No Data
01M188,1,P.S. 188 The Island School,false,M188,false,407,252,155,0,0.015,0.329,0.612,0.007,0.037,0.339,0.074,0.936,269,67,24.9%,219,69,31.5%,No Data,No Data,No Data,No Data
01M292,1,Orchard Collegiate Academy,false,M056,false,197,0,0,197,0.096,0.269,0.569,0.036,0.03,0.279,0.117,0.812,No Data,No Data,No Data,No Data,No Data,No Data,29,96.6%,41,68.3%
01M315,1,The East Village Community School,false,M061,false,333,333,0,0,0.096,0.045,0.231,0.054,0.574,0.156,0.015,0.27,112,69,61.6%,111,74,66.7%,No Data,No Data,No Data,No Data
01M332,1,University Neighborhood Middle School,false,M056,false,209,0,209,0,0.086,0.196,0.627,0.01,0.081,0.44,0.033,0.842,175,55,31.4%,173,22,12.7%,No Data,No Data,No Data,No Data
01M361,1,The Children's Workshop School,false,M061,false,320,320,0,0,0.097,0.103,0.397,0.053,0.35,0.234,0.034,0.481,95,55,57.9%,95,46,48.4%,No Data,No Data,No Data,No Data
01M363,1,Neighborhood School,false,M063,false,306,306,0,0,0.069,0.088,0.376,0.046,0.422,0.225,0.013,0.405,27,10,37.0%,27,9,33.3%,No Data,No Data,No Data,No Data
01M364,1,Earth School,false,M064,false,350,350,0,0,0.071,0.109,0.403,0.08,0.337,0.266,0.06,0.557,32,7,21.9%,28,5,17.9%,No Data,No Data,No Data,No Data
01M378,1,School for Global Leaders,false,M025,false,250,0,250,0,0.128,0.236,0.564,0.032,0.04,0.38,0.1,0.844,198,64,32.3%,209,73,34.9%,No Data,No Data,No Data,No Data
01M450,1,East Side Community School,false,M060,false,680,0,310,370,0.118,0.166,0.538,0.025,0.153,0.271,0.013,0.665,248,156,62.9%,243,144,59.3%,92,96.7%,89,92.1%
01M458,1,Forsyth Satellite Academy,false,M510,true,194,0,0,194,0,0.433,0.505,0.021,0.041,0.32,0.057,0.84,No Data,No Data,No Data,No Data,No Data,No Data,73,37.0%,88,53.4%
01M509,1,Marta Valle High School,false,M025,false,127,0,0,127,0.071,0.37,0.512,0.024,0.024,0.276,0.063,0.882,No Data,No Data,No Data,No Data,No Data,No Data,42,64.3%,67,79.1%
01M515,1,Lower East Side Preparatory High School,false,M025,true,543,0,0,543,0.505,0.094,0.379,0.004,0.018,0.077,0.718,0.694,No Data,No Data,No Data,No Data,No Data,No Data,226,40.3%,256,46.9%
01M650,1,Cascades High School,false,M510,true,187,0,0,187,0.027,0.481,0.481,0,0.011,0.209,0.021,0.84,No Data,No Data,No Data,No Data,No Data,No Data,103,30.1%,125,64.8%
01M839,1,Tompkins Square Middle School,false,M064,false,362,0,362,0,0.215,0.13,0.406,0.039,0.21,0.273,0.019,0.674,286,175,61.2%,262,143,54.6%,No Data,No Data,No Data,No Data
02M033,2,P.S. 033 Chelsea Prep,false,M033,false,632,632,0,0,0.236,0.184,0.288,0.089,0.204,0.147,0.06,0.487,286,183,64.0%,285,183,64.2%,No Data,No Data,No Data,No Data
02M040,2,P.S. 040 Augustus Saint-Gaudens,false,M040,false,708,708,0,0,0.121,0.017,0.14,0.102,0.62,0.16,0.025,0.114,270,236,87.4%,274,237,86.5%,No Data,No Data,No Data,No Data
02M047,2,47 The American Sign Language and English Secondary School,false,M047,false,196,0,0,196,0.031,0.276,0.643,0.005,0.046,0.27,0.046,0.883,No Data,No Data,No Data,No Data,No Data,No Data,35,85.7%,58,93.1%
02M051,2,P.S. 051 Elias Howe,false,M338,false,481,481,0,0,0.129,0.148,0.476,0.029,0.218,0.195,0.073,0.561,166,75,45.2%,161,82,50.9%,No Data,No Data,No Data,No Data
02M059,2,P.S. 059 Beekman Hill International,false,M488,false,598,598,0,0,0.199,0.013,0.105,0.102,0.58,0.139,0.047,0.114,251,220,87.6%,263,223,84.8%,No Data,No Data,No Data,No Data
02M077,2,P.S. 77 Lower Lab School,false,M198,false,360,360,0,0,0.328,0.003,0.047,0.117,0.506,0.089,0,0.108,185,181,97.8%,185,183,98.9%,No Data,No Data,No Data,No Data
02M089,2,P.S. 89,false,M089,false,456,456,0,0,0.191,0.015,0.118,0.083,0.592,0.143,0.061,0.088,173,147,85.0%,173,151,87.3%,No Data,No Data,No Data,No Data
02M114,2,East Side Middle School,false,M114,false,451,0,451,0,0.14,0.029,0.118,0.073,0.641,0.166,0,0.162,437,413,94.5%,294,283,96.3%,No Data,No Data,No Data,No Data
02M131,2,M.S. 131,false,M131,false,401,0,401,0,0.798,0.065,0.112,0.007,0.017,0.247,0.252,0.89,358,176,49.2%,375,239,63.7%,No Data,No Data,No Data,No Data
02M135,2,The Urban Assembly School for Emergency Management,false,M520,false,265,0,0,265,0.057,0.287,0.6,0.026,0.03,0.211,0.034,0.842,No Data,No Data,No Data,No Data,No Data,No Data,75,76.0%,s,s
02M139,2,Stephen T. Mather Building Arts & Craftsmanship High School,false,M625,false,401,0,0,401,0.042,0.264,0.631,0.02,0.042,0.252,0.072,0.793,No Data,No Data,No Data,No Data,No Data,No Data,100,78.0%,s,s
02M158,2,P.S. 158 Bayard Taylor,false,M158,false,796,796,0,0,0.129,0.02,0.08,0.065,0.705,0.147,0.054,0.117,325,273,84.0%,329,269,81.8%,No Data,No Data,No Data,No Data
02M177,2,Yorkville East Middle School,false,M158,false,230,0,230,0,0.065,0.087,0.23,0.039,0.578,0.257,0.013,0.3,211,159,75.4%,146,121,82.9%,No Data,No Data,No Data,No Data
