DBN,School Name,Category,Cohort Year,Cohort,Cohort #,Total Grads #,Total Grads % of cohort,Total Regents#,Total Regents% of cohort,Total Regents% of grads,Advanced Regents#,Advanced Regents% of cohort,Advanced Regents% of grads,Regents without Advanced#,Regents without Advanced% of cohort,Regents without Advanced% of grads,Local#,Local% of cohort,Local% of grads,Still Enrolled#,Still Enrolled% of cohort,Dropout#,Dropout% of cohort
84K355,Williamsburg Collegiate Charter School,All Students,2012,4 year August,37,34,91.9,34,91.9,100.0,5,13.5,14.7,29,78.4,85.3,0,0.0,0.0,3,8.1,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2011,4 year August,37,28,75.7,28,75.7,100.0,12,32.4,42.9,16,43.2,57.1,0,0.0,0.0,8,21.6,1,2.7
84K355,Williamsburg Collegiate Charter School,All Students,2010,4 year August,31,26,83.9,26,83.9,100.0,19,61.3,73.1,7,22.6,26.9,0,0.0,0.0,5,16.1,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2009,4 year August,31,20,64.5,20,64.5,100.0,0,0.0,0.0,20,64.5,100.0,0,0.0,0.0,3,9.7,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2012,4 year June,37,34,91.9,34,91.9,100.0,5,13.5,14.7,29,78.4,85.3,0,0.0,0.0,3,8.1,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2011,4 year June,37,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,36,97.3,1,2.7
84K355,Williamsburg Collegiate Charter School,All Students,2010,4 year June,31,26,83.9,26,83.9,100.0,19,61.3,73.1,7,22.6,26.9,0,0.0,0.0,5,16.1,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2009,4 year June,31,20,64.5,20,64.5,100.0,0,0.0,0.0,20,64.5,100.0,0,0.0,0.0,3,9.7,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2012,5 year August,34,34,100.0,34,100.0,100.0,5,14.7,14.7,29,85.3,85.3,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2011,5 year August,36,34,94.4,34,94.4,100.0,13,36.1,38.2,21,58.3,61.8,0,0.0,0.0,1,2.8,1,2.8
84K355,Williamsburg Collegiate Charter School,All Students,2010,5 year August,31,31,100.0,31,100.0,100.0,20,64.5,64.5,11,35.5,35.5,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2009,5 year August,30,30,100.0,30,100.0,100.0,8,26.7,26.7,22,73.3,73.3,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2012,5 year June,34,34,100.0,34,100.0,100.0,5,14.7,14.7,29,85.3,85.3,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2011,5 year June,36,34,94.4,34,94.4,100.0,13,36.1,38.2,21,58.3,61.8,0,0.0,0.0,1,2.8,1,2.8
84K355,Williamsburg Collegiate Charter School,All Students,2010,5 year June,31,26,83.9,26,83.9,100.0,19,61.3,73.1,7,22.6,26.9,0,0.0,0.0,5,16.1,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2009,5 year June,30,30,100.0,30,100.0,100.0,8,26.7,26.7,22,73.3,73.3,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2012,6 year June,34,34,100.0,34,100.0,100.0,5,14.7,14.7,29,85.3,85.3,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2011,6 year June,35,34,97.1,34,97.1,100.0,13,37.1,38.2,21,60.0,61.8,0,0.0,0.0,0,0.0,1,2.9
84K355,Williamsburg Collegiate Charter School,All Students,2010,6 year June,31,31,100.0,31,100.0,100.0,20,64.5,64.5,11,35.5,35.5,0,0.0,0.0,0,0.0,0,0.0
84K355,Williamsburg Collegiate Charter School,All Students,2009,6 year June,30,30,100.0,30,100.0,100.0,8,26.7,26.7,22,73.3,73.3,0,0.0,0.0,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2014,4 year August,39,36,92.3,34,87.2,94.4,0,0.0,0.0,34,87.2,94.4,2,5.1,5.6,2,5.1,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2013,4 year August,43,34,79.1,32,74.4,94.1,0,0.0,0.0,32,74.4,94.1,2,4.7,5.9,9,20.9,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2012,4 year August,37,34,91.9,33,89.2,97.1,0,0.0,0.0,33,89.2,97.1,1,2.7,2.9,3,8.1,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2011,4 year August,25,22,88.0,22,88.0,100.0,0,0.0,0.0,22,88.0,100.0,0,0.0,0.0,3,12.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2010,4 year August,21,19,90.5,19,90.5,100.0,0,0.0,0.0,19,90.5,100.0,0,0.0,0.0,2,9.5,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2009,4 year August,38,31,81.6,31,81.6,100.0,0,0.0,0.0,31,81.6,100.0,0,0.0,0.0,5,13.2,2,5.3
84K356,Achievement First Crown Heights Charter School,All Students,2014,4 year June,39,35,89.7,33,84.6,94.3,0,0.0,0.0,33,84.6,94.3,2,5.1,5.7,3,7.7,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2013,4 year June,43,34,79.1,32,74.4,94.1,0,0.0,0.0,32,74.4,94.1,2,4.7,5.9,9,20.9,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2012,4 year June,37,34,91.9,33,89.2,97.1,0,0.0,0.0,33,89.2,97.1,1,2.7,2.9,3,8.1,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2011,4 year June,25,22,88.0,22,88.0,100.0,0,0.0,0.0,22,88.0,100.0,0,0.0,0.0,3,12.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2010,4 year June,21,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,21,100.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2009,4 year June,38,31,81.6,31,81.6,100.0,0,0.0,0.0,31,81.6,100.0,0,0.0,0.0,5,13.2,2,5.3
84K356,Achievement First Crown Heights Charter School,All Students,2013,5 year August,42,40,95.2,37,88.1,92.5,0,0.0,0.0,37,88.1,92.5,3,7.1,7.5,2,4.8,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2012,5 year August,37,35,94.6,34,91.9,97.1,0,0.0,0.0,34,91.9,97.1,1,2.7,2.9,2,5.4,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2011,5 year August,23,23,100.0,23,100.0,100.0,0,0.0,0.0,23,100.0,100.0,0,0.0,0.0,0,0.0,0,0.0
84K356,Achievement First Crown Heights Charter School,All Students,2010,5 year August,21,20,95.2,20,95.2,100.0,0,0.0,0.0,20,95.2,100.0,0,0.0,0.0,1,4.8,0,0.0
