"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","MAR","Morocco","2018","2018",0.99347,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2013","2013",97.69499,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2014","2014",98.0367,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2015","2015",98.1098,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2016","2016",98.2281,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2017","2017",98.27868,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2018","2018",98.35487,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","BRN","Brunei Darussalam","2018","2018",90.3043,"‡","UIS Estimation"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2013","2013",1.0154,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2014","2014",1.0071,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2015","2015",1.00829,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2016","2016",1.00055,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2015","2015",73.09383,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BEN","Benin","2018","2018",51.94362,"‡","UIS Estimation"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","BIH","Bosnia and Herzegovina","2013","2013",0.95699,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2013","2013",84.0945,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2014","2014",84.62868,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2015","2015",86.18795,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2016","2016",90.90535,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2017","2017",91.54129,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2018","2018",91.80372,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2013","2013",74.13088,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2014","2014",74.84184,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2015","2015",75.59041,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2016","2016",76.25343,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2017","2017",76.85608,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2018","2018",77.24338,,
"LR_AG65T99","Elderly literacy rate, population 65+ years, both sexes (%)","BLR","Belarus","2018","2018",99.44392,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2013","2013",55.15865,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2014","2014",55.99933,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2015","2015",56.8476,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2016","2016",57.82761,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2017","2017",58.29112,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2018","2018",58.98402,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2013","2013",81.8457,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2014","2014",83.12185,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2015","2015",84.90913,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2016","2016",81.82694,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2018","2018",75.88686,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","CIV","Côte d'Ivoire","2014","2014",0.40853,,
"LR_AG65T99_GPI","Elderly literacy rate, population 65+ years, gender parity index (GPI)","CIV","Côte d'Ivoire","2018","2018",0.4209,"‡","UIS Estimation"
