SCHOOL YEAR END DATE,BEDS CODE,NAME,SUBJECT,STUDENT SUBGROUP,TOTAL TESTED,LEVEL 1 COUNT,LEVEL 1 PCT,LEVEL 2 COUNT,LEVEL 2 PCT,LEVEL 3 COUNT,LEVEL 3 PCT,LEVEL 4 COUNT,LEVEL 4 PCT,LEVEL 2-4 PCT,LEVEL 3-4 PCT,MEAN SCALE SCORE
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 3 ELA,All Students,675,54,8%,207,31%,288,43%,126,19%,92%,61%,607
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 3 Math,All Students,686,129,19%,139,20%,176,26%,242,35%,81%,61%,606
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 4 ELA,All Students,678,104,15%,171,25%,217,32%,186,27%,85%,59%,605
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 4 Math,All Students,678,170,25%,149,22%,122,18%,237,35%,75%,53%,604
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 5 ELA,All Students,694,208,30%,184,27%,142,20%,160,23%,70%,44%,604
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 5 Math,All Students,690,217,31%,123,18%,115,17%,235,34%,69%,51%,603
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 6 ELA,All Students,661,166,25%,116,18%,101,15%,278,42%,75%,57%,604
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 6 Math,All Students,662,184,28%,113,17%,132,20%,233,35%,72%,55%,605
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 7 ELA,All Students,720,163,23%,173,24%,163,23%,221,31%,77%,53%,608
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 7 Math,All Students,710,196,28%,148,21%,131,18%,235,33%,72%,52%,605
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 8 ELA,All Students,675,99,15%,204,30%,168,25%,204,30%,85%,55%,604
06/30/2019,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 8 Math,All Students,467,173,37%,108,23%,83,18%,103,22%,63%,40%,603
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 3 ELA,All Students,27,1,4%,7,26%,18,67%,1,4%,96%,70%,606
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 3 Math,All Students,26,4,15%,4,15%,8,31%,10,38%,85%,69%,606
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 4 ELA,All Students,18,0,0%,4,22%,11,61%,3,17%,100%,78%,607
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 4 Math,All Students,18,1,6%,2,11%,7,39%,8,44%,94%,83%,611
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 5 ELA,All Students,25,6,24%,10,40%,4,16%,5,20%,76%,36%,604
06/30/2019,310100010015,PS 15 ROBERTO CLEMENTE,Grade 5 Math,All Students,26,5,19%,8,31%,7,27%,6,23%,81%,50%,602
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 3 ELA,All Students,24,0,0%,8,33%,15,63%,1,4%,100%,67%,606
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 3 Math,All Students,24,1,4%,7,29%,11,46%,5,21%,96%,67%,605
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 4 ELA,All Students,32,4,13%,12,38%,12,38%,4,13%,88%,50%,599
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 4 Math,All Students,32,12,38%,9,28%,5,16%,6,19%,63%,34%,594
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 5 ELA,All Students,26,3,12%,9,35%,9,35%,5,19%,88%,54%,608
06/30/2019,310100010019,PS 19 ASHER LEVY,Grade 5 Math,All Students,24,7,29%,6,25%,4,17%,7,29%,71%,46%,603
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 3 ELA,All Students,57,13,23%,24,42%,18,32%,2,4%,77%,35%,593
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 3 Math,All Students,57,20,35%,18,32%,13,23%,6,11%,65%,33%,591
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 4 ELA,All Students,77,15,19%,26,34%,25,32%,11,14%,81%,47%,599
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 4 Math,All Students,78,29,37%,16,21%,15,19%,18,23%,63%,42%,597
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 5 ELA,All Students,63,22,35%,19,30%,15,24%,7,11%,65%,35%,598
06/30/2019,310100010020,PS 20 ANNA SILVER,Grade 5 Math,All Students,64,24,38%,10,16%,13,20%,17,27%,63%,47%,598
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 3 ELA,All Students,18,2,11%,12,67%,4,22%,0,0%,89%,22%,590
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 3 Math,All Students,18,9,50%,7,39%,2,11%,0,0%,50%,11%,585
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 4 ELA,All Students,39,16,41%,13,33%,9,23%,1,3%,59%,26%,587
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 4 Math,All Students,39,26,67%,9,23%,3,8%,1,3%,33%,10%,583
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 5 ELA,All Students,34,19,56%,10,29%,4,12%,1,3%,44%,15%,587
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 5 Math,All Students,34,23,68%,10,29%,0,0%,1,3%,32%,3%,584
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 6 ELA,All Students,38,16,42%,10,26%,8,21%,4,11%,58%,32%,589
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 6 Math,All Students,38,22,58%,8,21%,8,21%,0,0%,42%,21%,586
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 ELA,All Students,37,21,57%,15,41%,1,3%,0,0%,43%,3%,588
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 Math,All Students,36,19,53%,13,36%,4,11%,0,0%,47%,11%,588
06/30/2019,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 8 ELA,All Students,32,5,16%,18,56%,4,13%,5,16%,84%,28%,597
