Agency Code,Agency,Agency Name,Unit of Appropriation,Unit of Appropriation Name,PS_OTPS_Ind,"Expenditures_ FY18
($000,000)","Modified Budget for FY19, as of June, 2019 ($000,000)",Applicable_MMR_Goals,Notes
NA,311,311,NA,NA,NA,NA,NA,NA,311 is contained within the Department of Information Technology and Communications and appropriations are made through that agency.
NA,NYCHA,NEW YORK CITY HOUSING AUTHORITY,NA,NA,NA,NA,NA,NA,"The City's contributions to the New York City Housing Authority, a public authority, are not made through distinct units of appropriation."
NA,SCA,DEPARTMENT OF EDUCATION - SCHOOL CONSTRUCTION AUTHORITY,NA,NA,NA,NA,NA,NA,"The City's contributions to the School Construction Authority, a public authority, are not made through distinct units of appropriation."
3,BOE,BOARD OF ELECTIONS,1,PERSONAL SERVICES,Personal Services,64.8,84.8,NA,These figures are limited to the City’s contribution and planned contribution respectively.
3,BOE,BOARD OF ELECTIONS,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,64.5,86.1,NA,These figures are limited to the City’s contribution and planned contribution respectively.
17,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,1,PERSONAL SERVICES,Personal Services,16.1,25.2,All,
17,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,42.8,47.6,All,
25,LAW,LAW DEPARTMENT,1,PERSONAL SERVICES,Personal Services,136.5,153.8,All,
25,LAW,LAW DEPARTMENT,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,90.7,106.9,All,
30,DCP,DEPARTMENT OF CITY PLANNING,1,PERSONAL SERVICES,Personal Services,23.5,29.4,All,
30,DCP,DEPARTMENT OF CITY PLANNING,3,GEOGRAPHIC SYSTEMS,Personal Services,2.1,2.5,2a,
30,DCP,DEPARTMENT OF CITY PLANNING,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,10.3,13.2,All,
30,DCP,DEPARTMENT OF CITY PLANNING,4,GEOGRAPHIC SYSTEMS,Other Than Personal Services,0.2,0.3,2a,
32,DOI,DEPARTMENT OF INVESTIGATION,1,PERSONAL SERVICES,Personal Services,24.6,26.1,All,
32,DOI,DEPARTMENT OF INVESTIGATION,3,INSPECTOR GENERAL-PS,Personal Services,5,6,All,
32,DOI,DEPARTMENT OF INVESTIGATION,2,OTHER THAN PERSONAL SERVICES,Other Than Personal Services,11.1,21.8,All,
32,DOI,DEPARTMENT OF INVESTIGATION,4,INSPECTOR GENERAL-OTPS,Other Than Personal Services,1.2,1.4,All,
35,NYPL,NEW YORK PUBLIC LIBRARY - RESEARCH,1,LUMP SUM APPROPRIATION,Other Than Personal Services,28.1,28.6,NA,These figures are limited to the City’s contribution and planned contribution respectively.
37,NYPL,NEW YORK PUBLIC LIBRARY,3,LUMP SUM-BORO OF MANHATTAN,Other Than Personal Services,25.8,25.7,NA,These figures are limited to the City’s contribution and planned contribution respectively.
37,NYPL,NEW YORK PUBLIC LIBRARY,4,LUMP SUM- BORO OF BRONX,Other Than Personal Services,24.3,24.2,NA,These figures are limited to the City’s contribution and planned contribution respectively.
37,NYPL,NEW YORK PUBLIC LIBRARY,5,LUMP SUM-BORO OF STATEN ISL,Other Than Personal Services,10.2,10.1,NA,These figures are limited to the City’s contribution and planned contribution respectively.
37,NYPL,NEW YORK PUBLIC LIBRARY,6,SYSTEMWIDE SERVICES,Other Than Personal Services,78.3,85,NA,These figures are limited to the City’s contribution and planned contribution respectively.
37,NYPL,NEW YORK PUBLIC LIBRARY,7,CONSULTANT & ADVISORY SVCS,Other Than Personal Services,1.4,1.4,NA,These figures are limited to the City’s contribution and planned contribution respectively.
38,BPL,BROOKLYN PUBLIC LIBRARY,1,LUMP SUM,Other Than Personal Services,105.9,111.7,NA,These figures are limited to the City’s contribution and planned contribution respectively.
39,QPL,QUEENS BOROUGH PUBLIC LIBRARY,1,LUMP SUM,Other Than Personal Services,108.6,115.8,NA,These figures are limited to the City’s contribution and planned contribution respectively.
40,DOE,DEPARTMENT OF EDUCATION,401,GE INSTR & SCH LEADERSHIP - PS,Personal Services,"6,607.30","7,224.60","1a, 1b, 2a, 2b, 3a, 3b",
40,DOE,DEPARTMENT OF EDUCATION,403,SE INSTR & SCH LEADERSHIP - PS,Personal Services,"1,868.30","1,998.70","1a, 1b, 2a, 2b, 3a, 3b",
40,DOE,DEPARTMENT OF EDUCATION,407,UNIVERSAL PRE-K - PS,Personal Services,490.2,476.4,"1a, 1b, 2a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,409,EARLY CHILDHOOD PROGRAMS,Personal Services,7.7,80.5,"1a, 1b, 2a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,415,SCHOOL SUPPORT ORGANIZATION,Personal Services,308.8,300.4,"1a, 1b, 2b",
40,DOE,DEPARTMENT OF EDUCATION,421,CW SE INSTR & SCHL LEADERSHIP - PS,Personal Services,"1,114.70","1,255.70","1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,423,SE INSTRUCTIONAL SUPPORT - PS,Personal Services,330.3,358.6,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,435,SCHOOL FACILITIES - PS,Personal Services,169.3,187.9,"1a, 2b, 4a",
40,DOE,DEPARTMENT OF EDUCATION,439,SCHOOL FOOD SERVICES - PS,Personal Services,235.4,240,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,453,CENTRAL ADMINISTRATION - PS,Personal Services,202.5,210.2,All,
40,DOE,DEPARTMENT OF EDUCATION,461,FRINGE BENEFITS - PS,Personal Services,"3,302.00","3,570.60",All,
40,DOE,DEPARTMENT OF EDUCATION,481,CATEGORICAL PROGRAMS - PS,Personal Services,"1,004.40","1,000.10",All,
40,DOE,DEPARTMENT OF EDUCATION,402,GE INSTR & SCH LEADERSHIP - OTPS,Other Than Personal Services,823.9,856.3,"1a, 1b, 2a, 2b, 3a, 3b",
40,DOE,DEPARTMENT OF EDUCATION,404,SE INSTR & SCH LEADERSHIP -OTPS,Other Than Personal Services,5.1,5.3,"1a, 1b, 2a, 2b, 3a, 3b",
40,DOE,DEPARTMENT OF EDUCATION,406,CHARTER SCHOOLS,Other Than Personal Services,"1,880.70","2,117.10",All,
40,DOE,DEPARTMENT OF EDUCATION,408,UNIVERSAL PRE-K - OTPS,Other Than Personal Services,409.8,454.5,"1a, 1b, 2a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,410,EARLY CHILDHOOD PROGRAMS,Other Than Personal Services,3.2,32.4,"1a, 1b, 2a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,416,SCHOOL SUPPORT ORGANIZATION OTPS,Other Than Personal Services,32.1,38.4,"1a, 1b, 2b",
40,DOE,DEPARTMENT OF EDUCATION,422,CW SE INSTR & SCHL LEADERSHIP - OTPS,Other Than Personal Services,17.8,23.4,"1a, 2b",
40,DOE,DEPARTMENT OF EDUCATION,424,SE INSTRUCTIONAL SUPPORT -  OTPS,Other Than Personal Services,293.7,269.3,"1a, 2b",
