DBN,School Name,Grade Level,Program Type,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M015,PS 015 ROBERTO CLEMENTE,K,G&T,8,1,8,8,8
01M015,PS 015 ROBERTO CLEMENTE,K,ICT,20,1,20,20,20
01M015,PS 015 ROBERTO CLEMENTE,1,G&T,11,1,11,11,11
01M015,PS 015 ROBERTO CLEMENTE,1,ICT,21,1,21,21,21
01M015,PS 015 ROBERTO CLEMENTE,2,G&T,15,1,15,15,15
01M015,PS 015 ROBERTO CLEMENTE,2,ICT,18,1,18,18,18
01M015,PS 015 ROBERTO CLEMENTE,3,G&T,10,1,10,10,10
01M015,PS 015 ROBERTO CLEMENTE,3,ICT,13,1,13,13,13
01M015,PS 015 ROBERTO CLEMENTE,4,Gen Ed,9,1,9,9,9
01M015,PS 015 ROBERTO CLEMENTE,4,ICT,22,1,22,22,22
01M015,PS 015 ROBERTO CLEMENTE,5,ICT,26,1,26,26,26
01M019,PS 019 ASHER LEVY,K,Gen Ed,13,1,13,13,13
01M019,PS 019 ASHER LEVY,K,ICT,20,2,10,8,12
01M019,PS 019 ASHER LEVY,1,Gen Ed,13,1,13,13,13
01M019,PS 019 ASHER LEVY,1,ICT,20,2,10,8,12
01M019,PS 019 ASHER LEVY,2,Gen Ed,12,1,12,12,12
01M019,PS 019 ASHER LEVY,2,ICT,27,2,13.5,13,14
01M019,PS 019 ASHER LEVY,3,ICT,44,3,14.7,13,17
01M019,PS 019 ASHER LEVY,4,Gen Ed,23,1,23,23,23
01M019,PS 019 ASHER LEVY,4,ICT,14,1,14,14,14
01M019,PS 019 ASHER LEVY,5,Gen Ed,22,1,22,22,22
01M019,PS 019 ASHER LEVY,5,ICT,16,1,16,16,16
01M020,PS 020 ANNA SILVER,K,Gen Ed,48,3,16,13,22
01M020,PS 020 ANNA SILVER,K,ICT,21,1,21,21,21
01M020,PS 020 ANNA SILVER,1,Gen Ed,48,3,16,15,17
01M020,PS 020 ANNA SILVER,1,ICT,28,1,28,28,28
01M020,PS 020 ANNA SILVER,2,Gen Ed,46,3,15.3,11,23
01M020,PS 020 ANNA SILVER,2,ICT,18,1,18,18,18
01M020,PS 020 ANNA SILVER,3,Gen Ed,54,3,18,15,24
01M020,PS 020 ANNA SILVER,3,ICT,25,1,25,25,25
01M020,PS 020 ANNA SILVER,4,Gen Ed,20,1,20,20,20
01M020,PS 020 ANNA SILVER,4,ICT,55,2,27.5,26,29
01M020,PS 020 ANNA SILVER,5,Gen Ed,41,2,20.5,20,21
01M020,PS 020 ANNA SILVER,5,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,K,ICT,24,1,24,24,24
01M034,PS 034 FRANKLIN D ROOSEVELT,1,ICT,18,1,18,18,18
01M034,PS 034 FRANKLIN D ROOSEVELT,2,ICT,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,3,Gen Ed,25,1,25,25,25
01M034,PS 034 FRANKLIN D ROOSEVELT,3,ICT,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,4,Gen Ed,16,1,16,16,16
01M034,PS 034 FRANKLIN D ROOSEVELT,4,ICT,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,5,Gen Ed,17,1,17,17,17
01M034,PS 034 FRANKLIN D ROOSEVELT,5,ICT,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,6,Gen Ed,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,6,ICT,18,1,18,18,18
01M034,PS 034 FRANKLIN D ROOSEVELT,7,ICT,41,2,20.5,19,22
01M034,PS 034 FRANKLIN D ROOSEVELT,8,Gen Ed,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,8,ICT,36,2,18,18,18
01M063,THE STAR ACADEMY - PS63,K,Gen Ed,19,1,19,19,19
01M063,THE STAR ACADEMY - PS63,K,ICT,21,1,21,21,21
01M063,THE STAR ACADEMY - PS63,1,ICT,20,1,20,20,20
01M063,THE STAR ACADEMY - PS63,2,ICT,26,1,26,26,26
01M063,THE STAR ACADEMY - PS63,3,ICT,22,1,22,22,22
01M063,THE STAR ACADEMY - PS63,4,ICT,23,1,23,23,23
01M063,THE STAR ACADEMY - PS63,5,ICT,27,1,27,27,27
01M064,PS 064 ROBERT SIMON,K,Gen Ed,12,1,12,12,12
01M064,PS 064 ROBERT SIMON,K,ICT,15,1,15,15,15
01M064,PS 064 ROBERT SIMON,1,Gen Ed,19,1,19,19,19
01M064,PS 064 ROBERT SIMON,1,ICT,25,1,25,25,25
01M064,PS 064 ROBERT SIMON,2,Gen Ed,16,1,16,16,16
01M064,PS 064 ROBERT SIMON,2,ICT,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,3,ICT,30,1,30,30,30
01M064,PS 064 ROBERT SIMON,4,ICT,35,1,35,35,35
01M064,PS 064 ROBERT SIMON,5,ICT,35,1,35,35,35
01M110,PS 110 FLORENCE NIGHTINGALE,K,Gen Ed,22,1,22,22,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,G&T,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,K,ICT,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,1,G&T,26,1,26,26,26
01M110,PS 110 FLORENCE NIGHTINGALE,1,ICT,27,1,27,27,27
01M110,PS 110 FLORENCE NIGHTINGALE,2,G&T,30,1,30,30,30
01M110,PS 110 FLORENCE NIGHTINGALE,2,ICT,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,3,G&T,28,1,28,28,28
01M110,PS 110 FLORENCE NIGHTINGALE,3,ICT,16,1,16,16,16
01M110,PS 110 FLORENCE NIGHTINGALE,4,G&T,28,1,28,28,28
01M110,PS 110 FLORENCE NIGHTINGALE,4,ICT & G&T,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,5,Gen Ed,24,1,24,24,24
01M110,PS 110 FLORENCE NIGHTINGALE,5,G&T,21,1,21,21,21
01M110,PS 110 FLORENCE NIGHTINGALE,5,ICT,24,1,24,24,24
01M134,PS 134 HENRIETTA SZOLD,K,Gen Ed,18,1,18,18,18
01M134,PS 134 HENRIETTA SZOLD,K,ICT,18,1,18,18,18
