DBN,School Name,School Pupil-Teacher Ratio
01M015,PS 015 ROBERTO CLEMENTE,7.2
01M019,PS 019 ASHER LEVY,6.6
01M020,PS 020 ANNA SILVER,11.3
01M034,PS 034 FRANKLIN D ROOSEVELT,9
01M063,THE STAR ACADEMY - PS63,11.4
01M064,PS 064 ROBERT SIMON,10.1
01M110,PS 110 FLORENCE NIGHTINGALE,15.2
01M134,PS 134 HENRIETTA SZOLD,10
01M140,PS 140 NATHAN STRAUS,12.2
01M142,PS 142 AMALIA CASTRO,9.3
01M184,PS 184M SHUANG WEN,13.3
01M188,PS 188 THE ISLAND SCHOOL,10.6
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,9.1
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,13.8
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7.2
01M361,THE CHILDREN'S WORKSHOP SCHOOL,12.2
01M363,NEIGHBORHOOD SCHOOL,12.9
01M364,EARTH SCHOOL,12.4
01M378,SCHOOL FOR GLOBAL LEADERS,7.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,15.8
01M450,EAST SIDE COMMUNITY SCHOOL,13.5
01M458,FORSYTH SATELLITE ACADEMY,11.9
01M509,MARTA VALLE HIGH SCHOOL,9.2
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,16
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",17.4
01M650,CASCADES HIGH SCHOOL,12.9
01M696,BARD HIGH SCHOOL EARLY COLLEGE,16.6
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,12.4
02M001,PS 001 ALFRED E SMITH,11.5
02M002,PS 002 MEYER LONDON,10.9
02M003,PS 003 CHARRETTE SCHOOL,15.5
02M006,PS 006 LILLIE D BLAKE,17.4
02M011,PS 011 WILLIAM T HARRIS,15
02M033,PS 033 CHELSEA PREP,15.8
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,17
02M041,PS 041 GREENWICH VILLAGE,16.4
02M042,PS 042 BENJAMIN ALTMAN,12.4
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,8.9
02M051,PS 051 ELIAS HOWE,14
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,15.2
02M077,PS 77 LOWER LAB SCHOOL,20.3
02M089,PS 89,14.1
02M104,JHS 104 SIMON BARUCH,16.5
02M111,PS 111 ADOLPH S OCHS,12
02M114,EAST SIDE MIDDLE SCHOOL,15.6
02M116,PS 116 MARY LINDLEY MURRAY,14.2
02M124,PS 124 YUNG WING,15
02M126,PS 126 JACOB AUGUST RIIS,13.3
02M130,PS 130 HERNANDO DE SOTO,15.7
02M131,MS 131,12.1
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,11.4
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,9.8
02M150,PS 150,17.6
02M151,YORKVILLE COMMUNITY SCHOOL,13
02M158,PS 158 BAYARD TAYLOR,15.5
02M167,JHS 167 ROBERT F WAGNER,15.9
02M177,YORKVILLE EAST MIDDLE SCHOOL,12.2
02M183,PS 183 ROBERT L STEVENSON,14.5
02M198,PS 198 ISADOR E IDA STRAUS,14.3
02M212,PS 212 MIDTOWN WEST,17.9
02M217,PS/IS 217 ROOSEVELT ISLAND,15.3
02M225,ELLA BAKER SCHOOL,13
02M234,PS 234 INDEPENDENCE SCHOOL,14.7
02M255,MS 255 SALK SCHOOL OF SCIENCE,16.2
02M260,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,15
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",15.1
02M276,BATTERY PARK CITY SCHOOL,13.9
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,11.9
02M281,THE RIVER SCHOOL,13.4
02M282,URBAN ASSEMBLY MAKER ACADEMY,13.5
02M288,FOOD AND FINANCE HIGH SCHOOL,12.8
02M289,IS 289,15.4
02M290,PS 290 MANHATTAN NEW SCHOOL,15
02M294,ESSEX STREET ACADEMY,12.5
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,13.6
02M297,MS 297,15.7
02M298,PACE HIGH SCHOOL,14.9
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",13
02M303,"FACING HISTORY SCHOOL, THE",12.8
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",13
02M308,LOWER MANHATTAN ARTS ACADEMY,11.1
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,16.4
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",12.3
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",10.8
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,12.1
02M343,THE PECK SLIP SCHOOL,14
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,3.9
02M374,GRAMERCY ARTS HIGH SCHOOL,13.8
02M376,NYC ISCHOOL,14.5
02M392,MANHATTAN BUSINESS ACADEMY,12.7
02M393,BUSINESS OF SPORTS SCHOOL,11.8
02M394,EMMA LAZARUS HIGH SCHOOL,16.3
02M397,SPRUCE STREET SCHOOL,14.3
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15.3
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,17.7
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,18.8
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,18
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,11.7
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,14.9
02M414,NYC MUSEUM SCHOOL,16.2
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,16.1
02M418,MILLENNIUM HIGH SCHOOL,17.5
02M419,LANDMARK HIGH SCHOOL,12.9
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,19
02M422,QUEST TO LEARN,11.5
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,15.4
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,11.7
02M432,MURRAY HILL ACADEMY,12
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,14.4
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,13.2
02M439,MANHATTAN VILLAGE ACADEMY,15.5
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",13.7
02M449,VANGUARD HIGH SCHOOL,12.1
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,14.1
02M475,STUYVESANT HIGH SCHOOL,20.7
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,17.6
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,16.7
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,12.8
02M519,TALENT UNLIMITED HIGH SCHOOL,15.2
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,10.6
02M527,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,14.5
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,12.4
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,14.9
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,13.7
02M534,HARVEST COLLEGIATE HIGH SCHOOL,11.8
02M542,MANHATTAN BRIDGES HIGH SCHOOL,17.2
02M543,NEW DESIGN HIGH SCHOOL,11.1
02M544,INDEPENDENCE HIGH SCHOOL,15.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,16.2
02M546,ACADEMY FOR SOFTWARE ENGINEERING,12.9
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,15.5
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,13.2
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,14.9
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,10.1
02M570,SATELLITE ACADEMY HIGH SCHOOL,18
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,17.6
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,14.8
02M586,HARVEY MILK HIGH SCHOOL,8.4
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,16.1
02M605,HUMANITIES PREPARATORY ACADEMY,13.5
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,13.3
02M630,ART AND DESIGN HIGH SCHOOL,16.1
02M655,LIFE SCIENCES SECONDARY SCHOOL,12.6
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,12.5
02M933,CITY KNOLL MIDDLE SCHOOL,9.3
03M009,PS 009 SARAH ANDERSON,15.3
03M054,JHS 054 BOOKER T WASHINGTON,17.5
03M075,PS 075 EMILY DICKINSON,7.5
03M076,PS 076 A PHILIP RANDOLPH,14.7
03M084,PS 084 LILLIAN WEBER,13.3
03M087,PS 087 WILLIAM SHERMAN,15.3
03M145,"PS 145, THE BLOOMINGDALE SCHOOL",11.1
03M149,PS 149 SOJOURNER TRUTH,9.8
03M163,PS 163 ALFRED E SMITH,13.7
03M165,PS 165 ROBERT E SIMON,10.8
03M166,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,16.9
03M180,PS 180 HUGO NEWMAN,12
03M185,PS 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,11.5
03M191,PS 191 AMSTERDAM,10.1
03M199,PS 199 JESSIE ISADOR STRAUS,16.4
03M241,STEM INSTITUTE OF MANHATTAN,7.9
03M242,PS 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,6.7
03M243,MS 243 CENTER SCHOOL,16.6
03M245,MS M245 THE COMPUTER SCHOOL,15.6
03M247,MS M247 DUAL LANGUAGE MIDDLE SCHOOL,9.8
03M250,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,10.3
03M256,MS 256 ACADEMIC & ATHLETIC EXCELLENCE,8.9
03M258,COMMUNITY ACTION SCHOOL - MS 258,12.1
03M291,WEST END SECONDARY SCHOOL OF URBAN STUDIES,14.7
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",13.5
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",14.9
03M333,PS 333 MANHATTAN SCHOOL FOR CHILDREN,16.2
03M334,THE ANDERSON SCHOOL,18.9
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,10.8
03M403,THE GLOBAL LEARNING COLLABORATIVE,12.3
03M404,INNOVATION DIPLOMA PLUS,12.2
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,10.1
