DBN,Community School District,School Name,School Pupil-Teacher Ratio
01M015,CSD 01,PS 015 ROBERTO CLEMENTE,7.2
01M019,CSD 01,PS 019 ASHER LEVY,6.6
01M020,CSD 01,PS 020 ANNA SILVER,11.3
01M034,CSD 01,PS 034 FRANKLIN D ROOSEVELT,9
01M063,CSD 01,THE STAR ACADEMY - PS63,11.4
01M064,CSD 01,PS 064 ROBERT SIMON,10.1
01M110,CSD 01,PS 110 FLORENCE NIGHTINGALE,15.2
01M134,CSD 01,PS 134 HENRIETTA SZOLD,10
01M140,CSD 01,PS 140 NATHAN STRAUS,12.2
01M142,CSD 01,PS 142 AMALIA CASTRO,9.3
01M184,CSD 01,PS 184M SHUANG WEN,13.3
01M188,CSD 01,PS 188 THE ISLAND SCHOOL,10.6
01M292,CSD 01,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,9.1
01M315,CSD 01,THE EAST VILLAGE COMMUNITY SCHOOL,13.8
01M332,CSD 01,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7.2
01M361,CSD 01,THE CHILDREN'S WORKSHOP SCHOOL,12.2
01M363,CSD 01,NEIGHBORHOOD SCHOOL,12.9
01M364,CSD 01,EARTH SCHOOL,12.4
01M378,CSD 01,SCHOOL FOR GLOBAL LEADERS,7.6
01M448,CSD 01,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,15.8
01M450,CSD 01,EAST SIDE COMMUNITY SCHOOL,13.5
01M458,CSD 01,FORSYTH SATELLITE ACADEMY,11.9
01M509,CSD 01,MARTA VALLE HIGH SCHOOL,9.2
01M515,CSD 01,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,16
01M539,CSD 01,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",17.4
01M650,CSD 01,CASCADES HIGH SCHOOL,12.9
01M696,CSD 01,BARD HIGH SCHOOL EARLY COLLEGE,16.6
01M839,CSD 01,TOMPKINS SQUARE MIDDLE SCHOOL,12.4
02M001,CSD 02,PS 001 ALFRED E SMITH,11.5
02M002,CSD 02,PS 002 MEYER LONDON,10.9
02M003,CSD 02,PS 003 CHARRETTE SCHOOL,15.5
02M006,CSD 02,PS 006 LILLIE D BLAKE,17.4
02M011,CSD 02,PS 011 WILLIAM T HARRIS,15
02M033,CSD 02,PS 033 CHELSEA PREP,15.8
02M040,CSD 02,PS 040 AUGUSTUS SAINT-GAUDENS,17
02M041,CSD 02,PS 041 GREENWICH VILLAGE,16.4
02M042,CSD 02,PS 042 BENJAMIN ALTMAN,12.4
02M047,CSD 02,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,8.9
02M051,CSD 02,PS 051 ELIAS HOWE,14
02M059,CSD 02,PS 059 BEEKMAN HILL INTERNATIONAL,15.2
02M077,CSD 02,PS 77 LOWER LAB SCHOOL,20.3
02M089,CSD 02,PS 89,14.1
02M104,CSD 02,JHS 104 SIMON BARUCH,16.5
02M111,CSD 02,PS 111 ADOLPH S OCHS,12
02M114,CSD 02,EAST SIDE MIDDLE SCHOOL,15.6
02M116,CSD 02,PS 116 MARY LINDLEY MURRAY,14.2
02M124,CSD 02,PS 124 YUNG WING,15
02M126,CSD 02,PS 126 JACOB AUGUST RIIS,13.3
02M130,CSD 02,PS 130 HERNANDO DE SOTO,15.7
02M131,CSD 02,MS 131,12.1
02M135,CSD 02,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,11.4
02M139,CSD 02,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,9.8
02M150,CSD 02,PS 150,17.6
02M151,CSD 02,YORKVILLE COMMUNITY SCHOOL,13
02M158,CSD 02,PS 158 BAYARD TAYLOR,15.5
02M167,CSD 02,JHS 167 ROBERT F WAGNER,15.9
02M177,CSD 02,YORKVILLE EAST MIDDLE SCHOOL,12.2
02M183,CSD 02,PS 183 ROBERT L STEVENSON,14.5
02M198,CSD 02,PS 198 ISADOR E IDA STRAUS,14.3
02M212,CSD 02,PS 212 MIDTOWN WEST,17.9
02M217,CSD 02,PS/IS 217 ROOSEVELT ISLAND,15.3
02M225,CSD 02,ELLA BAKER SCHOOL,13
02M234,CSD 02,PS 234 INDEPENDENCE SCHOOL,14.7
02M255,CSD 02,MS 255 SALK SCHOOL OF SCIENCE,16.2
02M260,CSD 02,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,15
02M267,CSD 02,"EAST SIDE ELEMENTARY SCHOOL, PS 267",15.1
02M276,CSD 02,BATTERY PARK CITY SCHOOL,13.9
02M280,CSD 02,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,11.9
02M281,CSD 02,THE RIVER SCHOOL,13.4
02M282,CSD 02,URBAN ASSEMBLY MAKER ACADEMY,13.5
02M288,CSD 02,FOOD AND FINANCE HIGH SCHOOL,12.8
02M289,CSD 02,IS 289,15.4
02M290,CSD 02,PS 290 MANHATTAN NEW SCHOOL,15
02M294,CSD 02,ESSEX STREET ACADEMY,12.5
02M296,CSD 02,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,13.6
02M297,CSD 02,MS 297,15.7
02M298,CSD 02,PACE HIGH SCHOOL,14.9
02M300,CSD 02,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",13
02M303,CSD 02,"FACING HISTORY SCHOOL, THE",12.8
02M305,CSD 02,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",13
02M308,CSD 02,LOWER MANHATTAN ARTS ACADEMY,11.1
02M312,CSD 02,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,16.4
02M313,CSD 02,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",12.3
02M316,CSD 02,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",10.8
02M340,CSD 02,SIXTH AVENUE ELEMENTARY SCHOOL,12.1
02M343,CSD 02,THE PECK SLIP SCHOOL,14
02M347,CSD 02,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,3.9
02M374,CSD 02,GRAMERCY ARTS HIGH SCHOOL,13.8
02M376,CSD 02,NYC ISCHOOL,14.5
02M392,CSD 02,MANHATTAN BUSINESS ACADEMY,12.7
02M393,CSD 02,BUSINESS OF SPORTS SCHOOL,11.8
02M394,CSD 02,EMMA LAZARUS HIGH SCHOOL,16.3
02M397,CSD 02,SPRUCE STREET SCHOOL,14.3
02M399,CSD 02,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17
02M400,CSD 02,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15.3
02M407,CSD 02,INSTITUTE FOR COLLABORATIVE EDUCATION,17.7
