ADMISSION_YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,PROGRAM_TYPE,ADMISSION_STATUS,TOTAL
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,2
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,2
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,2
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,2
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,2
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,2
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,2
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,2
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,2
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,4
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,4
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,4
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,4
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,4
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,4
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Complete Applications Received,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Accepted,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,3
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,3
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Baccalaureate Degree Programs (Part-Time Study),Applicants Enrolled,3
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Complete Applications Received,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Accepted,0
Fall of 2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,Certificate or Diploma Programs (Part-Time Study),Applicants Enrolled,0
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Part-Time Study),Complete Applications Received,3
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Part-Time Study),Applicants Accepted,2
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Associate Degree Programs (Part-Time Study),Applicants Enrolled,2
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Part-Time Study),Complete Applications Received,62
Fall of 2019,28,NASSAU,2,INDEPENDENT,1,PRIVATE,1,4-Year/Grad,401000,800000049414,ADELPHI UNIVERSITY,Baccalaureate Degree Programs (Part-Time Study),Applicants Accepted,4
