SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,Transfer Students,Total,"Transfers In, Total",13812,0.00%,0.04%,0.09%,0.03%,0.01%,0.01%,59.91%,62.81%,63.83%,0.68%,0.00%,0.00%,35.34%
SUNY,2009-10,Transfer Students,Total,"Transfers In, Total",13981,0.00%,0.19%,0.27%,0.04%,0.01%,0.04%,61.78%,64.54%,65.67%,0.97%,13.61%,0.00%,19.40%
SUNY,2010-11,Transfer Students,Total,"Transfers In, Total",14890,0.00%,0.17%,0.27%,0.03%,0.01%,0.02%,61.83%,65.00%,66.10%,1.03%,13.91%,0.00%,18.62%
SUNY,2011-12,Transfer Students,Total,"Transfers In, Total",14907,0.00%,0.21%,0.32%,0.02%,0.06%,0.03%,62.89%,65.81%,66.89%,0.79%,13.69%,0.00%,18.21%
SUNY,2012-13,Transfer Students,Total,"Transfers In, Total",15124,0.01%,0.19%,0.29%,0.03%,0.01%,0.02%,62.88%,65.80%,66.94%,0.91%,13.69%,0.01%,18.10%
SUNY,2013-14,Transfer Students,Total,"Transfers In, Total",12785,0.00%,0.03%,0.04%,0.00%,0.01%,0.01%,65.76%,68.61%,69.62%,0.78%,13.44%,0.00%,16.10%
SUNY,2014-15,Transfer Students,Total,"Transfers In, Total",15700,0.00%,0.20%,0.30%,0.03%,0.03%,0.02%,63.60%,66.39%,67.35%,0.83%,18.38%,0.04%,13.04%
SUNY,2015-16,Transfer Students,Total,"Transfers In, Total",15342,0.00%,0.10%,0.20%,0.02%,0.02%,0.00%,65.45%,68.27%,69.27%,0.79%,16.91%,0.04%,12.79%
SUNY,2016-17,Transfer Students,Total,"Transfers In, Total",15390,0.00%,0.13%,0.18%,0.01%,0.00%,0.01%,66.90%,69.38%,70.36%,0.57%,16.67%,0.03%,12.20%
SUNY,2017-18,Transfer Students,Total,"Transfers In, Total",15949,0.00%,0.08%,0.16%,0.04%,0.03%,0.01%,67.54%,69.76%,70.63%,0.68%,16.36%,0.03%,12.09%
