SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,Total,"First-Time, Total",24588,0.00%,0.10%,0.21%,0.03%,0.02%,0.02%,45.14%,60.22%,63.17%,1.21%,16.17%,0.00%,19.17%
SUNY,2009-10,First-Time Entrants,Total,"First-Time, Total",23599,0.00%,0.11%,0.24%,0.07%,0.02%,0.03%,44.92%,60.57%,63.55%,1.61%,18.99%,0.00%,15.49%
SUNY,2010-11,First-Time Entrants,Total,"First-Time, Total",24697,0.01%,0.13%,0.26%,0.03%,0.03%,0.01%,46.08%,61.21%,64.21%,1.45%,18.43%,0.00%,15.57%
SUNY,2011-12,First-Time Entrants,Total,"First-Time, Total",25509,0.00%,0.08%,0.17%,0.05%,0.01%,0.02%,47.15%,62.08%,64.88%,1.40%,18.04%,0.00%,15.43%
SUNY,2012-13,First-Time Entrants,Total,"First-Time, Total",25873,0.00%,0.07%,0.20%,0.06%,0.02%,0.01%,47.26%,62.02%,64.75%,1.37%,17.94%,0.02%,15.65%
SUNY,2013-14,First-Time Entrants,Total,"First-Time, Total",24855,0.00%,0.06%,0.11%,0.02%,0.02%,0.01%,48.85%,63.46%,66.22%,1.36%,16.88%,0.00%,15.39%
SUNY,2014-15,First-Time Entrants,Total,"First-Time, Total",26039,0.01%,0.07%,0.21%,0.07%,0.03%,0.02%,49.78%,64.18%,66.70%,1.39%,22.74%,0.04%,8.82%
SUNY,2015-16,First-Time Entrants,Total,"First-Time, Total",25447,0.01%,0.07%,0.14%,0.05%,0.02%,0.02%,53.15%,66.57%,68.87%,1.03%,21.58%,0.01%,8.28%
SUNY,2016-17,First-Time Entrants,Total,"First-Time, Total",25988,0.00%,0.10%,0.17%,0.03%,0.03%,0.01%,53.97%,66.65%,68.67%,0.99%,22.90%,0.03%,7.19%
SUNY,2017-18,First-Time Entrants,Total,"First-Time, Total",26443,0.01%,0.11%,0.17%,0.04%,0.00%,0.01%,55.75%,67.54%,69.85%,0.97%,21.98%,0.02%,6.97%
SUNY,2018-19,First-Time Entrants,Total,"First-Time, Total",26806,0.00%,0.12%,0.23%,0.04%,0.01%,0.01%,56.40%,67.91%,69.96%,0.91%,21.53%,0.04%,7.30%
CUNY,2008-09,First-Time Entrants,Total,"First-Time, Total",9930,0.00%,0.03%,0.11%,0.12%,0.09%,0.10%,18.65%,36.53%,43.30%,7.01%,28.82%,0.00%,20.44%
CUNY,2009-10,First-Time Entrants,Total,"First-Time, Total",10573,0.00%,0.04%,0.10%,0.11%,0.09%,0.07%,19.54%,37.52%,44.38%,6.63%,27.73%,0.00%,20.89%
CUNY,2010-11,First-Time Entrants,Total,"First-Time, Total",10669,0.00%,0.02%,0.07%,0.03%,0.08%,0.09%,19.82%,38.34%,45.83%,6.81%,28.85%,0.00%,18.23%
CUNY,2011-12,First-Time Entrants,Total,"First-Time, Total",11164,0.02%,0.00%,0.08%,0.11%,0.07%,0.09%,19.97%,39.22%,46.74%,6.95%,27.97%,0.00%,17.97%
CUNY,2012-13,First-Time Entrants,Total,"First-Time, Total",12041,0.00%,0.01%,0.07%,0.08%,0.07%,0.05%,21.03%,40.10%,47.55%,6.22%,28.37%,0.00%,17.58%
CUNY,2013-14,First-Time Entrants,Total,"First-Time, Total",12497,0.02%,0.00%,0.10%,0.06%,0.12%,0.04%,20.64%,40.52%,47.64%,6.46%,27.11%,0.00%,18.44%
CUNY,2014-15,First-Time Entrants,Total,"First-Time, Total",12225,0.01%,0.00%,0.09%,0.10%,0.11%,0.11%,21.33%,41.90%,48.43%,5.62%,26.99%,0.00%,18.54%
CUNY,2015-16,First-Time Entrants,Total,"First-Time, Total",11755,0.00%,0.01%,0.07%,0.07%,0.07%,0.06%,21.85%,42.10%,48.84%,5.84%,16.21%,0.00%,28.86%
CUNY,2016-17,First-Time Entrants,Total,"First-Time, Total",11796,0.00%,0.04%,0.13%,0.08%,0.10%,0.05%,23.08%,44.31%,50.83%,5.76%,25.69%,0.00%,17.36%
CUNY,2017-18,First-Time Entrants,Total,"First-Time, Total",11641,0.00%,0.03%,0.14%,0.11%,0.04%,0.09%,24.47%,45.55%,51.71%,5.19%,25.62%,0.00%,17.09%
CUNY,2018-19,First-Time Entrants,Total,"First-Time, Total",11812,0.00%,0.08%,0.25%,0.12%,0.10%,0.08%,25.58%,47.05%,53.04%,5.05%,25.83%,0.00%,15.53%
INDEPENDENT,2008-09,First-Time Entrants,Total,"First-Time, Total",52755,0.03%,0.53%,0.62%,0.09%,0.03%,0.00%,56.57%,66.43%,68.79%,1.22%,5.39%,0.28%,23.73%
