SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,High School Credential,New York State Diploma,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,High School Credential,New York State Diploma,21134,0.00%,0.12%,0.24%,0.07%,0.02%,0.03%,44.59%,60.74%,63.74%,1.61%,20.54%,0.00%,13.76%
SUNY,2010-11,First-Time Entrants,High School Credential,New York State Diploma,21801,0.01%,0.14%,0.28%,0.04%,0.03%,0.01%,45.80%,61.26%,64.30%,1.44%,19.97%,0.00%,13.92%
SUNY,2011-12,First-Time Entrants,High School Credential,New York State Diploma,22419,0.00%,0.08%,0.17%,0.05%,0.01%,0.02%,46.46%,61.97%,64.87%,1.38%,19.71%,0.00%,13.78%
SUNY,2012-13,First-Time Entrants,High School Credential,New York State Diploma,22315,0.00%,0.08%,0.21%,0.06%,0.02%,0.01%,46.60%,62.00%,64.69%,1.41%,19.79%,0.01%,13.80%
SUNY,2013-14,First-Time Entrants,High School Credential,New York State Diploma,21237,0.00%,0.06%,0.11%,0.01%,0.01%,0.01%,48.40%,63.53%,66.31%,1.34%,18.89%,0.00%,13.32%
SUNY,2014-15,First-Time Entrants,High School Credential,New York State Diploma,21963,0.01%,0.07%,0.20%,0.05%,0.03%,0.01%,49.11%,64.21%,66.73%,1.33%,23.53%,0.04%,8.10%
SUNY,2015-16,First-Time Entrants,High School Credential,New York State Diploma,21606,0.01%,0.08%,0.15%,0.06%,0.02%,0.02%,52.41%,66.22%,68.46%,0.93%,22.59%,0.00%,7.76%
SUNY,2016-17,First-Time Entrants,High School Credential,New York State Diploma,21494,0.00%,0.10%,0.19%,0.04%,0.03%,0.01%,53.69%,66.85%,68.70%,0.88%,23.61%,0.02%,6.53%
SUNY,2017-18,First-Time Entrants,High School Credential,New York State Diploma,21962,0.01%,0.09%,0.15%,0.04%,0.00%,0.01%,55.63%,67.73%,69.98%,0.93%,22.53%,0.02%,6.33%
SUNY,2018-19,First-Time Entrants,High School Credential,New York State Diploma,22777,0.00%,0.13%,0.23%,0.04%,0.01%,0.01%,56.19%,68.11%,70.01%,0.84%,22.32%,0.04%,6.53%
SUNY,2008-09,First-Time Entrants,High School Credential,Other US Diploma,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,High School Credential,Other US Diploma,1522,0.00%,0.07%,0.07%,0.00%,0.07%,0.00%,51.51%,61.17%,63.53%,0.66%,2.56%,0.00%,33.11%
SUNY,2010-11,First-Time Entrants,High School Credential,Other US Diploma,1639,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,52.10%,63.58%,65.83%,0.73%,3.60%,0.00%,29.84%
SUNY,2011-12,First-Time Entrants,High School Credential,Other US Diploma,1719,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,59.51%,67.83%,69.92%,0.70%,2.44%,0.00%,26.93%
SUNY,2012-13,First-Time Entrants,High School Credential,Other US Diploma,1899,0.00%,0.05%,0.11%,0.00%,0.00%,0.00%,56.40%,65.10%,67.16%,0.74%,2.95%,0.11%,29.02%
SUNY,2013-14,First-Time Entrants,High School Credential,Other US Diploma,2071,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,54.37%,64.32%,65.57%,0.63%,3.38%,0.00%,30.13%
SUNY,2014-15,First-Time Entrants,High School Credential,Other US Diploma,2242,0.00%,0.00%,0.04%,0.18%,0.00%,0.00%,56.43%,65.94%,67.19%,0.62%,21.86%,0.09%,10.08%
SUNY,2015-16,First-Time Entrants,High School Credential,Other US Diploma,2148,0.00%,0.00%,0.05%,0.05%,0.00%,0.00%,62.55%,72.33%,73.96%,0.74%,17.32%,0.05%,7.87%
SUNY,2016-17,First-Time Entrants,High School Credential,Other US Diploma,2397,0.00%,0.08%,0.08%,0.00%,0.00%,0.00%,61.73%,70.12%,71.95%,0.75%,20.73%,0.04%,6.47%
SUNY,2017-18,First-Time Entrants,High School Credential,Other US Diploma,2355,0.00%,0.13%,0.13%,0.00%,0.00%,0.00%,63.13%,72.22%,73.66%,0.55%,19.49%,0.04%,6.16%
SUNY,2018-19,First-Time Entrants,High School Credential,Other US Diploma,2189,0.00%,0.05%,0.09%,0.00%,0.00%,0.00%,60.72%,69.04%,71.01%,0.82%,21.93%,0.09%,6.12%
SUNY,2008-09,First-Time Entrants,High School Credential,Foreign Secondary Credential,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,High School Credential,Foreign Secondary Credential,409,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.12%,63.57%,67.48%,3.91%,7.58%,0.00%,21.03%
SUNY,2010-11,First-Time Entrants,High School Credential,Foreign Secondary Credential,367,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.14%,55.31%,59.13%,4.90%,5.99%,0.00%,29.97%
SUNY,2011-12,First-Time Entrants,High School Credential,Foreign Secondary Credential,431,0.00%,0.23%,0.23%,0.00%,0.00%,0.00%,42.23%,55.68%,59.40%,4.64%,6.73%,0.00%,29.00%
SUNY,2012-13,First-Time Entrants,High School Credential,Foreign Secondary Credential,485,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.95%,56.29%,61.44%,3.71%,5.36%,0.00%,29.48%
SUNY,2013-14,First-Time Entrants,High School Credential,Foreign Secondary Credential,540,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.07%,59.44%,66.30%,4.26%,4.81%,0.00%,24.63%
SUNY,2014-15,First-Time Entrants,High School Credential,Foreign Secondary Credential,578,0.00%,0.35%,0.69%,0.00%,0.00%,0.00%,48.44%,60.21%,65.92%,4.67%,11.07%,0.00%,17.65%
SUNY,2015-16,First-Time Entrants,High School Credential,Foreign Secondary Credential,902,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,54.43%,66.63%,71.73%,3.55%,7.54%,0.00%,17.07%
SUNY,2016-17,First-Time Entrants,High School Credential,Foreign Secondary Credential,864,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,55.50%,66.63%,72.77%,2.78%,6.02%,0.12%,18.29%
SUNY,2017-18,First-Time Entrants,High School Credential,Foreign Secondary Credential,1091,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.31%,69.84%,73.42%,2.11%,7.61%,0.00%,16.87%
SUNY,2018-19,First-Time Entrants,High School Credential,Foreign Secondary Credential,1218,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,56.61%,66.89%,71.32%,2.22%,6.57%,0.08%,19.79%
SUNY,2008-09,First-Time Entrants,High School Credential,High School Equivalent,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,High School Credential,High School Equivalent,74,0.00%,0.00%,2.70%,1.35%,0.00%,1.35%,20.27%,27.03%,29.73%,0.00%,20.27%,0.00%,44.59%
SUNY,2010-11,First-Time Entrants,High School Credential,High School Equivalent,66,0.00%,0.00%,3.03%,0.00%,1.52%,0.00%,12.12%,15.15%,19.70%,1.52%,15.15%,0.00%,59.09%
SUNY,2011-12,First-Time Entrants,High School Credential,High School Equivalent,75,0.00%,1.33%,4.00%,1.33%,1.33%,1.33%,10.67%,14.67%,14.67%,0.00%,18.67%,0.00%,58.67%
SUNY,2012-13,First-Time Entrants,High School Credential,High School Equivalent,155,0.00%,0.00%,1.29%,1.29%,0.65%,0.00%,22.58%,32.90%,36.77%,1.29%,12.90%,0.00%,45.81%
SUNY,2013-14,First-Time Entrants,High School Credential,High School Equivalent,11,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.18%,36.36%,36.36%,9.09%,18.18%,0.00%,36.36%
SUNY,2014-15,First-Time Entrants,High School Credential,High School Equivalent,134,0.00%,0.00%,2.99%,2.24%,0.00%,1.49%,13.43%,19.40%,26.87%,2.99%,32.84%,0.00%,30.60%
SUNY,2015-16,First-Time Entrants,High School Credential,High School Equivalent,55,0.00%,1.82%,1.82%,0.00%,0.00%,0.00%,12.73%,18.18%,21.82%,0.00%,21.82%,0.00%,54.55%
SUNY,2016-17,First-Time Entrants,High School Credential,High School Equivalent,47,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.53%,34.04%,34.04%,2.13%,19.15%,0.00%,44.68%
SUNY,2017-18,First-Time Entrants,High School Credential,High School Equivalent,62,0.00%,0.00%,1.61%,0.00%,0.00%,0.00%,37.10%,41.94%,45.16%,1.61%,25.81%,0.00%,25.81%
SUNY,2018-19,First-Time Entrants,High School Credential,High School Equivalent,59,0.00%,0.00%,1.72%,0.00%,0.00%,0.00%,36.21%,46.55%,51.72%,0.00%,22.03%,1.69%,23.73%
SUNY,2008-09,First-Time Entrants,High School Credential,No Credential,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,High School Credential,No Credential,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2010-11,First-Time Entrants,High School Credential,No Credential,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
