SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),8535,0.00%,0.05%,0.08%,0.01%,0.00%,0.00%,56.73%,70.50%,72.89%,1.00%,12.04%,0.00%,13.98%
SUNY,2009-10,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),9811,0.00%,0.07%,0.09%,0.01%,0.00%,0.00%,56.18%,70.15%,72.55%,1.21%,15.18%,0.00%,10.96%
SUNY,2010-11,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),10141,0.01%,0.07%,0.12%,0.01%,0.00%,0.00%,57.88%,71.47%,73.74%,1.06%,14.34%,0.00%,10.72%
SUNY,2011-12,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),10802,0.00%,0.06%,0.06%,0.00%,0.00%,0.00%,57.99%,71.98%,74.12%,1.06%,13.75%,0.00%,11.02%
SUNY,2012-13,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),11404,0.00%,0.00%,0.04%,0.02%,0.01%,0.00%,57.72%,70.83%,72.81%,1.13%,14.82%,0.00%,11.18%
SUNY,2013-14,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),11255,0.00%,0.04%,0.07%,0.00%,0.00%,0.00%,59.00%,72.22%,74.36%,1.12%,13.83%,0.00%,10.62%
SUNY,2014-15,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),12165,0.00%,0.05%,0.09%,0.02%,0.00%,0.01%,60.32%,73.35%,75.45%,1.24%,19.02%,0.03%,4.16%
SUNY,2015-16,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),11909,0.01%,0.05%,0.08%,0.03%,0.03%,0.00%,63.17%,75.24%,77.06%,0.66%,17.13%,0.01%,5.00%
SUNY,2016-17,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),12164,0.00%,0.10%,0.12%,0.01%,0.01%,0.00%,64.56%,75.64%,77.09%,0.64%,18.12%,0.03%,4.00%
SUNY,2017-18,First-Time Entrants,Grade Point Average,90-100 (or 3.50-4.00),13011,0.01%,0.10%,0.14%,0.01%,0.00%,0.00%,65.69%,75.91%,77.76%,0.73%,17.41%,0.03%,3.94%
