SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),6663,0.00%,0.02%,0.06%,0.03%,0.02%,0.00%,58.11%,69.54%,72.19%,1.01%,10.55%,0.02%,16.15%
SUNY,2009-10,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),6979,0.00%,0.04%,0.07%,0.01%,0.00%,0.01%,57.00%,68.96%,71.04%,1.46%,13.57%,0.00%,13.83%
SUNY,2010-11,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),7402,0.00%,0.05%,0.07%,0.00%,0.00%,0.00%,59.04%,70.49%,72.47%,1.35%,13.17%,0.00%,12.94%
SUNY,2011-12,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),7373,0.00%,0.03%,0.04%,0.00%,0.00%,0.00%,60.50%,72.35%,74.42%,1.26%,12.13%,0.00%,12.15%
SUNY,2012-13,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),7574,0.00%,0.03%,0.04%,0.01%,0.00%,0.00%,59.24%,70.60%,72.76%,1.40%,13.22%,0.04%,12.56%
SUNY,2013-14,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),7861,0.00%,0.03%,0.03%,0.00%,0.00%,0.00%,60.11%,71.52%,73.67%,1.27%,12.00%,0.00%,13.04%
SUNY,2014-15,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),7975,0.00%,0.03%,0.05%,0.00%,0.00%,0.00%,60.24%,71.36%,73.36%,1.40%,17.53%,0.04%,7.65%
SUNY,2015-16,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),8059,0.00%,0.01%,0.02%,0.01%,0.02%,0.01%,64.69%,75.86%,77.85%,0.83%,15.01%,0.01%,6.23%
SUNY,2016-17,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),10829,0.00%,0.06%,0.06%,0.01%,0.01%,0.00%,63.30%,74.01%,75.82%,0.96%,17.67%,0.05%,5.45%
SUNY,2017-18,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),11264,0.00%,0.09%,0.10%,0.01%,0.00%,0.00%,65.15%,74.85%,76.72%,0.87%,17.28%,0.04%,5.02%
SUNY,2018-19,First-Time Entrants,SAT/ACT Average,1200-1600  (25-36),11259,0.00%,0.06%,0.11%,0.01%,0.01%,0.00%,65.63%,75.67%,77.27%,0.76%,16.59%,0.05%,5.24%
SUNY,2008-09,First-Time Entrants,SAT/ACT Average,990-1190  (19-24),11397,0.00%,0.11%,0.18%,0.03%,0.01%,0.01%,43.27%,59.16%,62.04%,1.08%,19.25%,0.00%,17.40%
SUNY,2009-10,First-Time Entrants,SAT/ACT Average,990-1190  (19-24),11271,0.00%,0.12%,0.17%,0.02%,0.01%,0.01%,43.58%,60.33%,63.45%,1.56%,21.25%,0.00%,13.53%
SUNY,2010-11,First-Time Entrants,SAT/ACT Average,990-1190  (19-24),11827,0.01%,0.08%,0.17%,0.05%,0.01%,0.00%,44.43%,60.59%,63.88%,1.24%,20.77%,0.00%,13.88%
SUNY,2011-12,First-Time Entrants,SAT/ACT Average,990-1190  (19-24),12050,0.00%,0.07%,0.13%,0.03%,0.01%,0.01%,45.52%,61.24%,63.97%,1.46%,20.36%,0.00%,14.03%
SUNY,2012-13,First-Time Entrants,SAT/ACT Average,990-1190  (19-24),12205,0.00%,0.04%,0.11%,0.04%,0.01%,0.01%,46.10%,61.69%,64.37%,1.23%,20.28%,0.01%,13.95%
