SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1448,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,27.21%,48.90%,54.28%,1.80%,13.81%,0.00%,30.04%
SUNY,2009-10,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1566,0.00%,0.00%,0.06%,0.00%,0.06%,0.00%,28.10%,50.26%,56.32%,2.49%,16.79%,0.00%,24.27%
SUNY,2010-11,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1608,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,25.81%,48.82%,53.54%,2.49%,17.16%,0.00%,26.74%
SUNY,2011-12,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1547,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.67%,51.45%,56.63%,1.49%,15.58%,0.00%,26.31%
SUNY,2012-13,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1586,0.00%,0.06%,0.06%,0.00%,0.06%,0.00%,30.26%,52.59%,57.12%,1.20%,15.01%,0.00%,26.54%
SUNY,2013-14,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1419,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,31.29%,51.37%,57.08%,1.55%,14.59%,0.00%,26.71%
SUNY,2014-15,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1456,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,30.84%,54.81%,59.41%,1.85%,25.82%,0.00%,12.84%
SUNY,2015-16,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1306,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,39.20%,57.27%,60.57%,1.45%,24.20%,0.00%,13.78%
SUNY,2016-17,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1343,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,39.09%,60.09%,63.22%,0.97%,23.01%,0.00%,12.81%
SUNY,2017-18,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1485,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,44.04%,62.02%,64.98%,1.01%,22.22%,0.00%,11.72%
SUNY,2018-19,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1521,0.00%,0.20%,0.33%,0.00%,0.00%,0.00%,45.92%,61.25%,64.01%,1.25%,23.14%,0.07%,11.24%
CUNY,2008-09,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1713,0.00%,0.06%,0.06%,0.12%,0.12%,0.18%,6.83%,24.87%,32.87%,8.46%,30.41%,0.00%,27.79%
CUNY,2009-10,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1890,0.00%,0.00%,0.11%,0.05%,0.11%,0.00%,8.57%,27.67%,34.71%,8.73%,29.10%,0.00%,27.20%
CUNY,2010-11,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1336,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,7.63%,26.80%,36.30%,7.34%,32.34%,0.00%,23.95%
CUNY,2011-12,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1717,0.00%,0.00%,0.00%,0.12%,0.06%,0.00%,8.15%,30.52%,37.74%,7.16%,30.63%,0.00%,24.29%
CUNY,2012-13,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1560,0.00%,0.00%,0.06%,0.00%,0.06%,0.13%,9.36%,30.45%,37.88%,7.31%,29.94%,0.00%,24.62%
CUNY,2013-14,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1652,0.00%,0.00%,0.12%,0.06%,0.18%,0.00%,11.74%,34.62%,43.10%,6.05%,27.85%,0.00%,22.64%
CUNY,2014-15,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1568,0.00%,0.00%,0.00%,0.06%,0.19%,0.06%,11.54%,34.38%,40.37%,7.27%,29.15%,0.00%,22.90%
CUNY,2015-16,First-Time Entrants,Opportunity Programs,Total Opportunity Students,1723,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.88%,38.13%,45.73%,6.50%,17.88%,0.00%,29.89%
