SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,Opportunity Programs,Students with Disabilities,194,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.26%,66.49%,72.68%,0.52%,4.12%,0.00%,22.68%
SUNY,2009-10,First-Time Entrants,Opportunity Programs,Students with Disabilities,25,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.00%,40.00%,44.00%,4.00%,32.00%,0.00%,20.00%
SUNY,2010-11,First-Time Entrants,Opportunity Programs,Students with Disabilities,34,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.82%,35.29%,38.24%,5.88%,26.47%,0.00%,29.41%
SUNY,2011-12,First-Time Entrants,Opportunity Programs,Students with Disabilities,16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,31.25%,43.75%,50.00%,0.00%,12.50%,0.00%,37.50%
SUNY,2012-13,First-Time Entrants,Opportunity Programs,Students with Disabilities,88,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,30.68%,57.95%,62.50%,1.14%,13.64%,0.00%,21.59%
SUNY,2013-14,First-Time Entrants,Opportunity Programs,Students with Disabilities,56,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.21%,50.00%,53.57%,0.00%,7.14%,0.00%,39.29%
SUNY,2014-15,First-Time Entrants,Opportunity Programs,Students with Disabilities,20,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,30.00%,35.00%,5.00%,30.00%,0.00%,30.00%
SUNY,2015-16,First-Time Entrants,Opportunity Programs,Students with Disabilities,11,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,72.73%,81.82%,81.82%,0.00%,9.09%,0.00%,9.09%
SUNY,2016-17,First-Time Entrants,Opportunity Programs,Students with Disabilities,12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,58.33%,58.33%,58.33%,0.00%,25.00%,0.00%,16.67%
SUNY,2017-18,First-Time Entrants,Opportunity Programs,Students with Disabilities,18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.56%,72.22%,72.22%,0.00%,5.56%,0.00%,22.22%
SUNY,2018-19,First-Time Entrants,Opportunity Programs,Students with Disabilities,32,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,68.75%,87.50%,87.50%,0.00%,3.13%,0.00%,9.38%
CUNY,2008-09,First-Time Entrants,Opportunity Programs,Students with Disabilities,22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.27%,40.91%,4.55%,40.91%,0.00%,13.64%
CUNY,2009-10,First-Time Entrants,Opportunity Programs,Students with Disabilities,34,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.76%,29.41%,41.18%,23.53%,23.53%,0.00%,11.76%
CUNY,2010-11,First-Time Entrants,Opportunity Programs,Students with Disabilities,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,66.67%
CUNY,2011-12,First-Time Entrants,Opportunity Programs,Students with Disabilities,17,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.88%,35.29%,41.18%,11.76%,23.53%,0.00%,23.53%
CUNY,2012-13,First-Time Entrants,Opportunity Programs,Students with Disabilities,9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,44.44%,55.56%,0.00%,22.22%,0.00%,22.22%
CUNY,2013-14,First-Time Entrants,Opportunity Programs,Students with Disabilities,12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,33.33%,0.00%,8.33%,0.00%,58.33%
CUNY,2014-15,First-Time Entrants,Opportunity Programs,Students with Disabilities,12,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,16.67%,41.67%,41.67%,16.67%,25.00%,0.00%,8.33%
CUNY,2015-16,First-Time Entrants,Opportunity Programs,Students with Disabilities,6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,33.33%,33.33%,16.67%,16.67%,0.00%,33.33%
CUNY,2016-17,First-Time Entrants,Opportunity Programs,Students with Disabilities,32,0.00%,0.00%,0.00%,0.00%,3.13%,0.00%,0.00%,28.13%,43.75%,3.13%,34.38%,0.00%,15.63%
CUNY,2017-18,First-Time Entrants,Opportunity Programs,Students with Disabilities,18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.56%,27.78%,38.89%,5.56%,38.89%,0.00%,16.67%
CUNY,2018-19,First-Time Entrants,Opportunity Programs,Students with Disabilities,26,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,26.92%,34.62%,7.69%,38.46%,0.00%,19.23%
