SECTOR_NAME,DATA YEAR,ENTRY_COHORT,GROUP,SUBGROUP,TOTAL_COHORT,ASSOC EARNED < 2 YEARS,ASSOC EARNED IN 2 YEARS,ASSOC EARNED IN 3 YEARS,ASSOC EARNED IN 4 YEARS,ASSOC EARNED IN 5 YEARS,ASSOC EARNED IN 6 YEARS,BACH EARNED IN 4 YEARS,BACH EARNED IN 5 YEARS,BACH EARNED IN 6 YEARS,PERCENT STILL ENROLLED,PERCENT TRANSFERRED OUT,IPEDS EXCLUSIONS,OTHER EXCLUSIONS
SUNY,2008-09,First-Time Entrants,Opportunity Programs,Hispanic,411,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,28.47%,50.61%,54.74%,1.70%,8.03%,0.00%,35.28%
SUNY,2009-10,First-Time Entrants,Opportunity Programs,Hispanic,435,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,28.05%,51.26%,58.62%,1.38%,12.64%,0.00%,27.13%
SUNY,2010-11,First-Time Entrants,Opportunity Programs,Hispanic,466,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,29.40%,54.94%,58.58%,2.36%,9.44%,0.00%,29.40%
SUNY,2011-12,First-Time Entrants,Opportunity Programs,Hispanic,437,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.01%,52.40%,56.98%,0.69%,12.59%,0.00%,29.75%
SUNY,2012-13,First-Time Entrants,Opportunity Programs,Hispanic,461,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,28.85%,52.49%,57.70%,1.08%,9.76%,0.00%,31.24%
SUNY,2013-14,First-Time Entrants,Opportunity Programs,Hispanic,416,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,34.86%,52.64%,56.25%,2.16%,10.10%,0.00%,31.25%
SUNY,2014-15,First-Time Entrants,Opportunity Programs,Hispanic,480,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.83%,55.63%,60.00%,2.71%,24.38%,0.00%,12.92%
SUNY,2015-16,First-Time Entrants,Opportunity Programs,Hispanic,458,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.58%,60.92%,63.54%,1.09%,22.49%,0.00%,12.88%
SUNY,2016-17,First-Time Entrants,Opportunity Programs,Hispanic,512,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.09%,59.57%,62.89%,0.59%,22.46%,0.00%,14.06%
SUNY,2017-18,First-Time Entrants,Opportunity Programs,Hispanic,595,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.50%,59.33%,62.86%,1.18%,23.87%,0.00%,12.10%
SUNY,2018-19,First-Time Entrants,Opportunity Programs,Hispanic,610,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,45.65%,60.10%,63.71%,1.31%,22.79%,0.16%,11.97%
SUNY,2008-09,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2009-10,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2010-11,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2011-12,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2012-13,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2013-14,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SUNY,2014-15,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,13,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.08%,53.85%,53.85%,0.00%,23.08%,0.00%,23.08%
SUNY,2015-16,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,35,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37.14%,60.00%,60.00%,0.00%,31.43%,0.00%,8.57%
SUNY,2016-17,First-Time Entrants,Opportunity Programs,Non-Hispanic and 2 or more races,47,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.66%,42.55%,42.55%,2.13%,31.91%,0.00%,23.40%
