Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2019,8206,37133,U,4 yr Undergrad,BEIS MEDRASH HEICHAL DOVID,PRIVATE,9-CHAPTER XXII,18
2019,940,2849,U,4 yr Undergrad,SUNY PLATTSBURGH (UNDERGRAD),PUBLIC,3-SUNY SO,1936
2019,685,2816,U,4 yr Undergrad,SIENA COLLEGE,PRIVATE,5-INDEPENDENT,872
2019,6020,2857,U,4 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,557
2019,2051,2713,U,4 yr Undergrad,DOMINICAN COLLEGE-WEEKEND 4YR UG,PRIVATE,5-INDEPENDENT,4
2019,6093,2763,U,4 yr Undergrad,MARIA COLLEGE 4 YR,PRIVATE,5-INDEPENDENT,33
2019,1409,7273,U,4 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,5565
2019,1405,2696,U,2 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,2344
2019,6315,10727,U,4 yr Undergrad,DEVRY COLLEGEE OF NEW YORK 4YR,PRIVATE,6-BUS. DEGREE,73
2019,35,2671,U,5 yr Undergrad,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1
2019,745,6443,U,2 yr Undergrad,ST JOHN'S RIVERSIDE HOSP NURS,PRIVATE,5-INDEPENDENT,11
2019,990,2889,U,4 yr Undergrad,UNION COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,176
2019,8277,42590,U,5 yr Undergrad,YESHIVA SHAAR EPHRAIM,PRIVATE,9-CHAPTER XXII,2
2019,7699,12358,U,2 yr Undergrad,PLAZA COLLEGE-2YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,308
2019,895,2835,U,4 yr Undergrad,SUNY ALBANY 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,5408
2019,2188,2896,U,4 yr Undergrad,VILLA MARIA COLL OF BUFFALO 4YR,PRIVATE,5-INDEPENDENT,251
2019,35,2671,U,4 yr Undergrad,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,229
2019,8302,31473,U,4 yr Undergrad,YESHIVA D'MONSEY,PRIVATE,9-CHAPTER XXII,42
2019,4975,11678,U,4 yr Undergrad,SUNY POLYTECHNIC INSTITUTE,PUBLIC,3-SUNY SO,885
2019,500,2775,U,2 yr Undergrad,MOLLOY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1
2019,2125,2876,U,2 yr Undergrad,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,879
2019,1415,10097,U,4 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,1468
2019,735,2821,U,5 yr Undergrad,ST JOHN FISHER COLLEGE UNDERGRAD,PRIVATE,5-INDEPENDENT,2
2019,1414,2693,U,5 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,84
2019,910,2843,U,4 yr Undergrad,SUC CORTLAND (UNDERGRAD),PUBLIC,3-SUNY SO,2346
2019,970,6791,U,4 yr Undergrad,SUC PURCHASE (UNDERGRAD),PUBLIC,3-SUNY SO,1566
2019,25,6435,U,4 yr Undergrad,ARNOT OGDEN MED CTR NURSING 4YR,PRIVATE,8-OTHER,1
2019,1405,2696,U,5 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,27
2019,1411,2688,U,4 yr Undergrad,CUNY CITY COLLEGE,PUBLIC,1-CUNY SR,5739
2019,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,971
2019,8207,42272,U,4 yr Undergrad,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,26
2019,215,2718,U,4 yr Undergrad,ELMIRA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,228
2019,615,2798,U,5 yr Undergrad,PRATT INSTITUTE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,10
2019,8288,41155,U,4 yr Undergrad,TALMUDICAL SEMINARY OF BOBOV,PRIVATE,9-CHAPTER XXII,313
2019,500,2775,U,4 yr Undergrad,MOLLOY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,844
2019,8255,11984,U,4 yr Undergrad,OHR HAMEIR THEOLOGICAL SEMINARY,PRIVATE,9-CHAPTER XXII,22
2019,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1
2019,20,2668,U,5 yr Undergrad,ALFRED UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,7
2019,295,2731,U,5 yr Undergrad,HOBART AND WILLIAM SMITH COLLS 4Y,PRIVATE,5-INDEPENDENT,2
2019,6830,2678,U,4 yr Undergrad,BRYANT & STRATTON BBA ALBANY,PRIVATE,6-BUS. DEGREE,6
2019,403,2751,U,4 yr Undergrad,LONG ISLAND UNIV 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1687
2019,865,10142,U,4 yr Undergrad,TOURO COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1173
2019,1409,7273,U,5 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,12
2019,288,10153,U,4 yr Undergrad,HELENE FULD SCHOOL REG NURS BA,PRIVATE,5-INDEPENDENT,23
2019,1010,2837,U,2 yr Undergrad,SUNY BUFFALO 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,1
2019,6445,6438,U,4 yr Undergrad,PHILLIPS BETH ISRAEL NURSING BA,PRIVATE,5-INDEPENDENT,8
2019,1606,5877,U,2 yr Undergrad,S NASSAU HOSP SCH OF RAD TECH,PRIVATE,8-OTHER,1
2019,8316,17197,U,5 yr Undergrad,YESHIVA OF THE TELSHE ALUMNI,PRIVATE,9-CHAPTER XXII,1
2019,6734,2678,U,4 yr Undergrad,BRYANT & STRATTON GREECE,PRIVATE,6-BUS. DEGREE,7
2019,7480,8495,U,2 yr Undergrad,JAMESTOWN BUSINESS COLL 2 YR ASSO,PRIVATE,6-BUS. DEGREE,176
2019,1050,2901,U,4 yr Undergrad,WELLS COLLEGE,PRIVATE,5-INDEPENDENT,179
2019,1415,10097,U,2 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,831
2019,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,801
2019,130,2703,U,5 yr Undergrad,COL OF MT ST VINCENT 4YR SEM,PRIVATE,5-INDEPENDENT,3
2019,1418,4759,U,2 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,1
2019,7736,2678,U,2 yr Undergrad,BRYANT & STRATTON SYRACUSE,PRIVATE,6-BUS. DEGREE,275
2019,3030,2859,U,5 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,3
2019,8266,8614,U,5 yr Undergrad,RABBINCAL COL BOBOVER YESHIV BNEI,PRIVATE,9-CHAPTER XXII,28
2019,7518,4799,U,2 yr Undergrad,MONROE COLLEGE ASSOCIATES DEG 2YR,PRIVATE,6-BUS. DEGREE,1336
2019,1418,4759,U,5 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,54
2019,3005,2854,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT ALFRED,PUBLIC,3-SUNY SO,1029
2019,8235,13026,U,5 yr Undergrad,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,8
2019,420,2760,U,4 yr Undergrad,MANHATTANVILLE COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,424
2019,765,6467,U,2 yr Undergrad,ST JOSEPH COL NUR AT ST JOS HOSP,PRIVATE,5-INDEPENDENT,88
2019,855,2814,U,5 yr Undergrad,SKIDMORE COLLEGE,PRIVATE,5-INDEPENDENT,1
2019,1410,2687,U,4 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,6024
2019,1099,9769,U,4 yr Undergrad,METROPOLITAN COLL OF NEW YORK 4YR,PRIVATE,5-INDEPENDENT,270
2019,1412,7022,U,5 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,175
2019,174,2711,U,4 yr Undergrad,CORNELL UNIV STATUTORY COLLEGES,PUBLIC,3-SUNY SO,486
2019,615,2798,U,4 yr Undergrad,PRATT INSTITUTE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,180
2019,3020,2857,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,811
2019,3030,2859,U,2 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,909
2019,8201,11208,U,4 yr Undergrad,ASSOCIATED BETH RIVKAH SCHOOL,PRIVATE,9-CHAPTER XXII,39
